@relation training_keyboard.arff-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C26-Llast

@attribute Pacman_posx numeric
@attribute Pacman_posy numeric
@attribute Number_ghosts numeric
@attribute Ghost1_Distance numeric
@attribute Ghost2_Distance numeric
@attribute Ghost3_Distance numeric
@attribute Ghost4_Distance numeric
@attribute Ghost1_Posx numeric
@attribute Ghost1_Posy numeric
@attribute Ghost2_Posx numeric
@attribute Ghost2_Posy numeric
@attribute Ghost3_Posx numeric
@attribute Ghost3_Posy numeric
@attribute Ghost4_Posx numeric
@attribute Ghost4_Posy numeric
@attribute Living_Ghost1 {True,False}
@attribute Living_Ghost2 {True,False}
@attribute Living_Ghost3 {True,False}
@attribute Living_Ghost4 {True,False}
@attribute Ghost1_Direction {North,South,East,West,Stop,None}
@attribute Ghost2_Direction {North,South,East,West,Stop,None}
@attribute Ghost3_Direction {North,South,East,West,Stop,None}
@attribute Ghost4_Direction {North,South,East,West,Stop,None}
@attribute pacDots numeric
@attribute Dist_nearest_pacDots numeric
@attribute Pacman_direction {North,South,East,West,Stop}
@attribute Score numeric
@attribute East_Legal {True,False}
@attribute West_Legal {True,False}
@attribute North_Legal {True,False}
@attribute South_Legal {True,False}
@attribute FutureScore numeric

@data
8,6,4,10000,2,16,22,1,1,10,6,22,4,28,5,False,True,True,True,Stop,East,East,South,0,-1,East,177,True,True,True,True,176
9,6,4,10000,1,14,22,1,1,10,6,21,4,28,4,False,True,True,True,Stop,East,West,South,0,-1,East,176,True,True,True,True,375
10,6,4,10000,10000,14,21,1,1,3,1,21,3,28,3,False,False,True,True,Stop,Stop,South,South,0,-1,North,375,True,True,True,True,374
10,7,4,10000,10000,16,22,1,1,3,1,22,3,28,3,False,False,True,True,Stop,Stop,East,South,0,-1,North,374,True,True,True,True,373
10,8,4,10000,10000,16,24,1,1,3,1,22,4,28,3,False,False,True,True,Stop,Stop,North,South,0,-1,North,373,True,True,True,True,372
10,9,4,10000,10000,18,24,1,1,3,1,22,3,28,2,False,False,True,True,Stop,Stop,South,North,0,-1,North,372,True,True,True,True,371
10,10,4,10000,10000,19,24,1,1,3,1,22,3,28,3,False,False,True,True,Stop,Stop,South,West,0,-1,North,371,True,True,True,True,370
10,11,4,10000,10000,19,25,1,1,3,1,22,4,27,3,False,False,True,True,Stop,Stop,North,West,0,-1,North,370,True,True,True,True,369
10,12,4,10000,10000,21,25,1,1,3,1,23,4,27,3,False,False,True,True,Stop,Stop,East,North,0,-1,East,369,True,True,True,True,368
11,12,4,10000,10000,19,23,1,1,3,1,23,5,27,4,False,False,True,True,Stop,Stop,North,North,0,-1,East,368,True,True,False,True,367
12,12,4,10000,10000,17,23,1,1,3,1,23,6,27,5,False,False,True,True,Stop,Stop,North,South,0,-1,East,367,True,True,False,False,366
13,12,4,10000,10000,15,22,1,1,3,1,23,7,27,4,False,False,True,True,Stop,Stop,North,South,0,-1,South,366,True,True,False,True,365
13,11,4,10000,10000,15,20,1,1,3,1,24,7,27,4,False,False,True,True,Stop,Stop,East,North,0,-1,South,365,True,False,True,True,364
13,10,4,10000,10000,15,18,1,1,3,1,25,7,27,5,False,False,True,True,Stop,Stop,East,North,0,-1,South,364,True,False,True,True,363
13,9,4,10000,10000,13,17,1,1,3,1,24,7,27,6,False,False,True,True,Stop,Stop,West,North,0,-1,South,363,True,False,True,True,362
13,8,4,10000,10000,12,15,1,1,3,1,24,7,27,6,False,False,True,True,Stop,Stop,West,West,0,-1,South,362,True,False,True,True,361
13,7,4,10000,10000,12,13,1,1,3,1,24,8,26,6,False,False,True,True,Stop,Stop,North,North,0,-1,South,361,True,False,True,True,360
13,6,4,10000,10000,12,15,1,1,3,1,24,7,26,7,False,False,True,True,Stop,Stop,South,East,0,-1,East,360,True,False,True,True,359
14,6,4,10000,10000,12,14,1,1,3,1,25,7,27,7,False,False,True,True,Stop,Stop,East,East,0,-1,East,359,True,True,True,True,358
15,6,4,10000,10000,10,14,1,1,3,1,25,6,27,7,False,False,True,True,Stop,Stop,South,North,0,-1,East,358,True,True,False,False,357
16,6,4,10000,10000,8,14,1,1,3,1,24,6,27,8,False,False,True,True,Stop,Stop,West,East,0,-1,East,357,True,True,False,False,356
17,6,4,10000,10000,7,12,1,1,3,1,24,6,28,8,False,False,True,True,Stop,Stop,West,West,0,-1,East,356,True,True,False,True,355
18,6,4,10000,10000,7,12,1,1,3,1,24,7,27,8,False,False,True,True,Stop,Stop,North,North,0,-1,East,355,True,True,False,True,354
19,6,4,10000,10000,7,10,1,1,3,1,24,8,27,9,False,False,True,True,Stop,Stop,North,West,0,-1,East,354,True,True,False,True,353
